time,meter_name,status,fault_groups
2025-08-29 14:25:11.219863,M1.3,OK,
2025-08-29 14:25:11.219863,M1.4,OK,
2025-08-29 14:25:11.341699,M2.1,OK,
2025-08-29 14:25:11.341699,M2.2,OK,
2025-08-29 14:25:11.391680,M3.1,OK,
2025-08-29 14:25:11.391680,M3.2,OK,
2025-08-29 14:25:16.439717,M1.1,OK,
2025-08-29 14:25:16.439717,M1.2,OK,
2025-08-29 14:25:16.439717,M1.3,OK,
2025-08-29 14:25:16.439717,M1.4,OK,
2025-08-29 14:25:16.580329,M2.1,OK,
2025-08-29 14:25:16.580329,M2.2,OK,
2025-08-29 14:25:16.629134,M3.1,OK,
2025-08-29 14:25:16.629134,M3.2,OK,
2025-08-29 14:25:21.688708,M1.1,OK,
2025-08-29 14:25:21.688708,M1.2,OK,
2025-08-29 14:25:21.688708,M1.3,OK,
2025-08-29 14:25:21.688708,M1.4,OK,
2025-08-29 14:25:21.787600,M2.1,OK,
2025-08-29 14:25:21.787600,M2.2,OK,
2025-08-29 14:25:21.838880,M3.1,OK,
2025-08-29 14:25:21.838880,M3.2,OK,
2025-08-29 14:25:26.888558,M1.1,OK,
2025-08-29 14:25:26.888558,M1.2,OK,
2025-08-29 14:25:26.888558,M1.3,OK,
2025-08-29 14:25:26.888558,M1.4,OK,
2025-08-29 14:25:27.057278,M2.1,OK,
